type,n_formats,total_usable,median_usable_per_format,sample_n,median_tokens,fw_rate_median,fw_band_30_70,allcaps_rate,junk_rate
exploitable,759,43324,38.0,300,17.5,0.412,0.667,0.14,0.027
image macro,703,34174,36.0,300,15.0,0.429,0.683,0.18,0.013
catchphrase,431,21813,37.0,300,15.0,0.417,0.657,0.183,0.007
reaction,385,18204,36.0,300,15.5,0.417,0.67,0.143,0.01
pop culture reference,245,11550,36.0,300,19.0,0.406,0.687,0.143,0.013
character,225,14773,39.0,300,14.0,0.375,0.61,0.174,0.02
parody,219,11474,37.0,300,19.0,0.385,0.617,0.187,0.027
slang,207,14445,39.0,300,16.5,0.375,0.627,0.173,0.02
photoshop,194,10591,37.0,300,16.5,0.349,0.56,0.137,0.02
snowclone,189,9048,39.0,300,20.0,0.444,0.713,0.13,0.007
copypasta,117,4212,32.0,300,29.5,0.457,0.827,0.073,0.003
viral video,96,3831,30.0,300,17.0,0.385,0.613,0.177,0.043
participatory media,82,3313,31.5,300,19.0,0.375,0.65,0.153,0.02
cliché,59,3619,38.0,300,18.0,0.375,0.623,0.093,0.03
fan art,55,3226,40.0,300,14.0,0.375,0.53,0.201,0.043
